Rank the courses by difficulty (see above to get an idea of what each difficulty means) [ASU 101],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [ENG 101],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [ENG 107],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [FSE 100],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [ CSE 110],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [ENG 102],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [ENG 108],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [CSE 205],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [MAT 265],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 232],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [MAT 266],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [MAT 243],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [CSE 230],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [CSE 240],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [MAT 267],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [ MAT 275],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 222],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [EGR 104],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [EGR 280],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 216],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [MAT 343],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 315],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 334],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [PHY 121],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [PHY 122],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 321],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 316],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 335],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 415],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 322],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 416],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 401],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [HST 318],Rank the courses by difficulty (see above to get an idea of what each difficulty means) [SER 402],Which courses would you recommend for which session ? [ASU 101],Which courses would you recommend for which session ? [ENG 101],Which courses would you recommend for which session ? [ENG 107],Which courses would you recommend for which session ? [FSE 100],Which courses would you recommend for which session ? [ CSE 110],Which courses would you recommend for which session ? [ENG 102],Which courses would you recommend for which session ? [ENG 108],Which courses would you recommend for which session ? [CSE 205],Which courses would you recommend for which session ? [MAT 265],Which courses would you recommend for which session ? [SER 232],Which courses would you recommend for which session ? [MAT 266],Which courses would you recommend for which session ? [MAT 243],Which courses would you recommend for which session ? [CSE 230],Which courses would you recommend for which session ? [CSE 240],Which courses would you recommend for which session ? [MAT 267],Which courses would you recommend for which session ? [ MAT 275],Which courses would you recommend for which session ? [SER 222],Which courses would you recommend for which session ? [EGR 104],Which courses would you recommend for which session ? [EGR 280],Which courses would you recommend for which session ? [SER 216],Which courses would you recommend for which session ? [MAT 343],Which courses would you recommend for which session ? [SER 315],Which courses would you recommend for which session ? [SER 334],Which courses would you recommend for which session ? [PHY 121],Which courses would you recommend for which session ? [PHY 122],Which courses would you recommend for which session ? [SER 321],Which courses would you recommend for which session ? [SER 316],Which courses would you recommend for which session ? [SER 335],Which courses would you recommend for which session ? [SER 415],Which courses would you recommend for which session ? [SER 322],Which courses would you recommend for which session ? [SER 416],Which courses would you recommend for which session ? [SER 401],Which courses would you recommend for which session ? [HST 318],Which courses would you recommend for which session ? [SER 402]
Difficulty lvl 1,,,Difficulty lvl 3,Difficulty lvl 1,Difficulty lvl 2,,Difficulty lvl 2,Difficulty lvl 3,Difficulty lvl 1,Difficulty lvl 3,Difficulty lvl 3,Difficulty lvl 1,Difficulty lvl 4,,Difficulty lvl 3,Difficulty lvl 2,Difficulty lvl 1,Difficulty lvl 1,Difficulty lvl 2,Difficulty lvl 3,Difficulty lvl 2,Difficulty lvl 4,Difficulty lvl 4,Difficulty lvl 2,,Difficulty lvl 4,,Difficulty lvl 1,Difficulty lvl 2,Difficulty lvl 1,Difficulty lvl 3,,Difficulty lvl 3,Recommend as a Session A/B (7.5 week) course,(I don't know enought about this course),(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,,Recommend as a Session C (15 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,Recommend as a Session C (15 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,Recommend as a Session C (15 week) course,Recommend as a Session C (15 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,Recommend as a Session C (15 week) course,Recommend as a Session C (15 week) course,Recommend as a Session C (15 week) course,(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,(I don't know enought about this course),Recommend as a Session C (15 week) course
(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),Difficulty lvl 1,Difficulty lvl 3,(I don't know enought about this course),(I don't know enought about this course),Difficulty lvl 4,(I don't know enought about this course),Difficulty lvl 3,(I don't know enought about this course),(I don't know enought about this course),Difficulty lvl 3,Difficulty lvl 4,(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),Difficulty lvl 1,(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,(I don't know enought about this course),(I don't know enought about this course),Recommend as a Session C (15 week) course,(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,(I don't know enought about this course),(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course)
(I don't know enought about this course),Difficulty lvl 2,(I don't know enought about this course),Difficulty lvl 3,Difficulty lvl 2,(I don't know enought about this course),(I don't know enought about this course),Difficulty lvl 2,(I don't know enought about this course),Difficulty lvl 2,(I don't know enought about this course),(I don't know enought about this course),Difficulty lvl 3,(I don't know enought about this course),Difficulty lvl 4,(I don't know enought about this course),Difficulty lvl 2,Difficulty lvl 1,Difficulty lvl 2,Difficulty lvl 2,(I don't know enought about this course),Difficulty lvl 3,Difficulty lvl 4,(I don't know enought about this course),(I don't know enought about this course),Difficulty lvl 4,Difficulty lvl 3,(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session A/B (7.5 week) course,Recommend as a Session C (15 week) course,Recommend as a Session A/B (7.5 week) course,(I don't know enought about this course),(I don't know enought about this course),Recommend as a Session A/B (7.5 week) course,(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course),(I don't know enought about this course)
,,,,,,,,,,,,,,,,Difficulty lvl 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recommend as a Session C (15 week) course,,,,,,,,,,,,,,,,,
